song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Without You (feat. Usher),David Guetta & Usher,64,0.608,0.614,2.0,-3.727,1.0,0.0285,0.227,3.82e-06,0.157,0.402,127.885,audio_features,1tAutlhI9FwnKn7fVgmd5P,spotify:track:1tAutlhI9FwnKn7fVgmd5P,https://api.spotify.com/v1/tracks/1tAutlhI9FwnKn7fVgmd5P,https://api.spotify.com/v1/audio-analysis/1tAutlhI9FwnKn7fVgmd5P,208133.0,4.0
Stereo Hearts (feat. Adam Levine),Gym Class Heroes & Adam Levine,82,0.646,0.795,9.0,-3.293,1.0,0.0976,0.0319,0.0,0.267,0.796,89.99,audio_features,0qOnSQQF0yzuPWsXrQ9paz,spotify:track:0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/tracks/0qOnSQQF0yzuPWsXrQ9paz,https://api.spotify.com/v1/audio-analysis/0qOnSQQF0yzuPWsXrQ9paz,210960.0,4.0
Jar of Hearts,Christina Perri,74,0.349,0.348,3.0,-6.142,1.0,0.0316,0.726,0.0,0.12,0.0886,74.541,audio_features,0HZhYMZOcUzZKSFwPOti6m,spotify:track:0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/tracks/0HZhYMZOcUzZKSFwPOti6m,https://api.spotify.com/v1/audio-analysis/0HZhYMZOcUzZKSFwPOti6m,246587.0,4.0
Video Games,Lana Del Rey,71,0.236,0.249,6.0,-9.595,0.0,0.0348,0.811,1e-06,0.087,0.181,72.847,audio_features,24jvD83UgLmrdGjhWTFslY,spotify:track:24jvD83UgLmrdGjhWTFslY,https://api.spotify.com/v1/tracks/24jvD83UgLmrdGjhWTFslY,https://api.spotify.com/v1/audio-analysis/24jvD83UgLmrdGjhWTFslY,281960.0,5.0
Paradise,Coldplay,85,0.449,0.585,5.0,-6.761,1.0,0.0268,0.0509,8.75e-05,0.0833,0.212,139.631,audio_features,6nek1Nin9q48AVZcWs9e9D,spotify:track:6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/tracks/6nek1Nin9q48AVZcWs9e9D,https://api.spotify.com/v1/audio-analysis/6nek1Nin9q48AVZcWs9e9D,278719.0,4.0
Cannonball,Little Mix,52,0.346,0.532,5.0,-6.479,1.0,0.112,0.391,0.0,0.222,0.251,151.999,audio_features,2XMP9Jaae8ei79ZrQb95E5,spotify:track:2XMP9Jaae8ei79ZrQb95E5,https://api.spotify.com/v1/tracks/2XMP9Jaae8ei79ZrQb95E5,https://api.spotify.com/v1/audio-analysis/2XMP9Jaae8ei79ZrQb95E5,205717.0,4.0
Written in the Stars (feat. Eric Turner),Tinie Tempah & Eric Turner,56,0.644,0.945,7.0,-3.534,1.0,0.0717,0.0587,0.0,0.184,0.573,91.017,audio_features,61HQWI1Woxup7CnGwVUsdI,spotify:track:61HQWI1Woxup7CnGwVUsdI,https://api.spotify.com/v1/tracks/61HQWI1Woxup7CnGwVUsdI,https://api.spotify.com/v1/audio-analysis/61HQWI1Woxup7CnGwVUsdI,219560.0,4.0
Blown Away,Keith Hammond,0,0.4,0.657,3.0,-11.336,1.0,0.0321,0.0826,2.71e-06,0.104,0.415,185.188,audio_features,1hJy5aMqVeGz6FWocLp4ct,spotify:track:1hJy5aMqVeGz6FWocLp4ct,https://api.spotify.com/v1/tracks/1hJy5aMqVeGz6FWocLp4ct,https://api.spotify.com/v1/audio-analysis/1hJy5aMqVeGz6FWocLp4ct,214680.0,4.0
Hey Baby (Drop It to the Floor) (feat. T-Pain),Pitbull & T-Pain,73,0.595,0.912,10.0,-3.428,0.0,0.0884,0.0434,0.0,0.259,0.762,128.024,audio_features,3rfhI32Il2hVRKDkuGeeen,spotify:track:3rfhI32Il2hVRKDkuGeeen,https://api.spotify.com/v1/tracks/3rfhI32Il2hVRKDkuGeeen,https://api.spotify.com/v1/audio-analysis/3rfhI32Il2hVRKDkuGeeen,234453.0,4.0
Don't Wanna Go Home,Jason Derulo,63,0.671,0.808,2.0,-4.861,0.0,0.0652,0.02,0.0,0.134,0.637,121.956,audio_features,1r3myKmjWoOqRip99CmSj1,spotify:track:1r3myKmjWoOqRip99CmSj1,https://api.spotify.com/v1/tracks/1r3myKmjWoOqRip99CmSj1,https://api.spotify.com/v1/audio-analysis/1r3myKmjWoOqRip99CmSj1,206080.0,4.0
