song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Sabbath Bloody Sabbath,Black Sabbath,58,0.361,0.631,1,-9.215,0,0.0356,0.404,9.9e-05,0.0685,0.541,137.757,audio_features,2CzKVfVA9U7OKbIpAVPZOk,spotify:track:2CzKVfVA9U7OKbIpAVPZOk,https://api.spotify.com/v1/tracks/2CzKVfVA9U7OKbIpAVPZOk,https://api.spotify.com/v1/audio-analysis/2CzKVfVA9U7OKbIpAVPZOk,347627,4
Metal On Metal,Anvil,49,0.459,0.923,10,-6.081,0,0.0709,9.19e-05,1.46e-06,0.454,0.548,119.838,audio_features,56uiDIiXz2sRoQ0AXq84aI,spotify:track:56uiDIiXz2sRoQ0AXq84aI,https://api.spotify.com/v1/tracks/56uiDIiXz2sRoQ0AXq84aI,https://api.spotify.com/v1/audio-analysis/56uiDIiXz2sRoQ0AXq84aI,236360,4
Between the Hammer & the Anvil,Judas Priest,47,0.318,0.984,4,-4.693,0,0.109,0.000109,0.0174,0.144,0.13,172.271,audio_features,3DfE7Ysl7H40yDbGFSuzPU,spotify:track:3DfE7Ysl7H40yDbGFSuzPU,https://api.spotify.com/v1/tracks/3DfE7Ysl7H40yDbGFSuzPU,https://api.spotify.com/v1/audio-analysis/3DfE7Ysl7H40yDbGFSuzPU,289040,4
Peace Sells - Remastered,Megadeth,57,0.303,0.922,11,-4.376,0,0.138,0.000676,0.26,0.561,0.695,138.393,audio_features,3090goAxG6IlpCifA8m9xB,spotify:track:3090goAxG6IlpCifA8m9xB,https://api.spotify.com/v1/tracks/3090goAxG6IlpCifA8m9xB,https://api.spotify.com/v1/audio-analysis/3090goAxG6IlpCifA8m9xB,242533,4
2 Minutes to Midnight - 2015 Remaster,Iron Maiden,67,0.446,0.97,9,-5.004,0,0.0508,0.00754,0.000275,0.199,0.595,94.233,audio_features,2SrVGpjv0mqCR6j9EZPSm2,spotify:track:2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/tracks/2SrVGpjv0mqCR6j9EZPSm2,https://api.spotify.com/v1/audio-analysis/2SrVGpjv0mqCR6j9EZPSm2,363587,4
Condemned,Zach Bryan,74,0.616,0.15,5,-13.517,1,0.119,0.831,0,0.203,0.345,126.462,audio_features,6WuVLG5DRHKKuJ6deCw28p,spotify:track:6WuVLG5DRHKKuJ6deCw28p,https://api.spotify.com/v1/tracks/6WuVLG5DRHKKuJ6deCw28p,https://api.spotify.com/v1/audio-analysis/6WuVLG5DRHKKuJ6deCw28p,174673,4
Where It Ends,Bailey Zimmerman,77,0.431,0.837,9,-5.067,1,0.0432,0.259,0,0.0879,0.648,170.041,audio_features,7lNezbnIXBbgNmFOa9dt1c,spotify:track:7lNezbnIXBbgNmFOa9dt1c,https://api.spotify.com/v1/tracks/7lNezbnIXBbgNmFOa9dt1c,https://api.spotify.com/v1/audio-analysis/7lNezbnIXBbgNmFOa9dt1c,179294,4
Chasin' That Neon Rainbow,Alan Jackson,51,0.719,0.561,7,-10.309,1,0.0334,0.214,0,0.0865,0.868,149.077,audio_features,5XZ0RcEdAEv19bB48fc2cr,spotify:track:5XZ0RcEdAEv19bB48fc2cr,https://api.spotify.com/v1/tracks/5XZ0RcEdAEv19bB48fc2cr,https://api.spotify.com/v1/audio-analysis/5XZ0RcEdAEv19bB48fc2cr,185202,4
Good Directions,Billy Currington,73,0.716,0.72,5,-2.183,1,0.0319,0.307,0,0.135,0.464,122.512,audio_features,7GQjJEwqlp6m5HNWVQd6OR,spotify:track:7GQjJEwqlp6m5HNWVQd6OR,https://api.spotify.com/v1/tracks/7GQjJEwqlp6m5HNWVQd6OR,https://api.spotify.com/v1/audio-analysis/7GQjJEwqlp6m5HNWVQd6OR,215853,4
Boys 'Round Here (feat. Pistol Annies & Friends),Blake Shelton & Pistol Annies,67,0.611,0.688,2,-6.369,1,0.0529,0.251,2.35e-06,0.248,0.649,169.895,audio_features,39FwE8edwuyiaa4PrGBkP7,spotify:track:39FwE8edwuyiaa4PrGBkP7,https://api.spotify.com/v1/tracks/39FwE8edwuyiaa4PrGBkP7,https://api.spotify.com/v1/audio-analysis/39FwE8edwuyiaa4PrGBkP7,288760,4
Country Girl (Shake It For Me),Luke Bryan,78,0.645,0.904,2,-4.532,1,0.0462,0.0293,0,0.0834,0.671,105.97,audio_features,0JbSghVDghtFEurrSO8JrC,spotify:track:0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/tracks/0JbSghVDghtFEurrSO8JrC,https://api.spotify.com/v1/audio-analysis/0JbSghVDghtFEurrSO8JrC,225560,4
Wagon Wheel,Darius Rucker,79,0.537,0.66,9,-7.174,1,0.0296,0.455,0,0.135,0.574,148.096,audio_features,3xdjjKMcMOFgo1eQrfbogM,spotify:track:3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/tracks/3xdjjKMcMOFgo1eQrfbogM,https://api.spotify.com/v1/audio-analysis/3xdjjKMcMOFgo1eQrfbogM,298373,4
Somethin' 'Bout A Truck,Kip Moore,69,0.554,0.794,11,-5.417,1,0.035,0.0697,0,0.63,0.79,176.01,audio_features,6Ymvlzom4TQeoKqAWsZRD8,spotify:track:6Ymvlzom4TQeoKqAWsZRD8,https://api.spotify.com/v1/tracks/6Ymvlzom4TQeoKqAWsZRD8,https://api.spotify.com/v1/audio-analysis/6Ymvlzom4TQeoKqAWsZRD8,213827,4
Small Town Boy,Dustin Lynch,69,0.554,0.743,9,-6.016,1,0.0287,0.0251,0,0.359,0.673,72.997,audio_features,2YMhrXQYKkm4kXLcXKKd5z,spotify:track:2YMhrXQYKkm4kXLcXKKd5z,https://api.spotify.com/v1/tracks/2YMhrXQYKkm4kXLcXKKd5z,https://api.spotify.com/v1/audio-analysis/2YMhrXQYKkm4kXLcXKKd5z,205733,4
Chasin' You,Morgan Wallen,80,0.631,0.591,7,-5.785,1,0.0277,0.657,0,0.11,0.489,97.074,audio_features,5MwynWK9s4hlyKHqhkNn4A,spotify:track:5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/tracks/5MwynWK9s4hlyKHqhkNn4A,https://api.spotify.com/v1/audio-analysis/5MwynWK9s4hlyKHqhkNn4A,205453,4
You're Gonna Miss This,Trace Adkins,65,0.5,0.665,8,-7.157,1,0.0355,0.0237,6.41e-05,0.0994,0.32,154.997,audio_features,7Efs0OIW6zgQyH7ehKZYpN,spotify:track:7Efs0OIW6zgQyH7ehKZYpN,https://api.spotify.com/v1/tracks/7Efs0OIW6zgQyH7ehKZYpN,https://api.spotify.com/v1/audio-analysis/7Efs0OIW6zgQyH7ehKZYpN,224960,4
Five More Minutes,Scotty McCreery,67,0.494,0.634,7,-4.933,1,0.0282,0.259,1.15e-06,0.109,0.28,156.03,audio_features,3qTmB5HxP9ilJaiM6B1yuk,spotify:track:3qTmB5HxP9ilJaiM6B1yuk,https://api.spotify.com/v1/tracks/3qTmB5HxP9ilJaiM6B1yuk,https://api.spotify.com/v1/audio-analysis/3qTmB5HxP9ilJaiM6B1yuk,241147,4
Break Up In A Small Town,Sam Hunt,70,0.579,0.776,8,-5.365,1,0.173,0.0749,0,0.239,0.434,136.044,audio_features,7aftSOGSOpSoIlVAQVBb71,spotify:track:7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/tracks/7aftSOGSOpSoIlVAQVBb71,https://api.spotify.com/v1/audio-analysis/7aftSOGSOpSoIlVAQVBb71,229880,4
"Courtesy Of The Red, White And Blue (The Angry American)",Toby Keith,69,0.424,0.661,2,-5.547,1,0.0425,0.521,1.62e-06,0.0719,0.384,111.762,audio_features,0M7mWKqwTIaVjYyxfZmtTa,spotify:track:0M7mWKqwTIaVjYyxfZmtTa,https://api.spotify.com/v1/tracks/0M7mWKqwTIaVjYyxfZmtTa,https://api.spotify.com/v1/audio-analysis/0M7mWKqwTIaVjYyxfZmtTa,195533,4
