song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Rhythm,Casey MacGill & the Spirits of Rhythm,38,0.736,0.675,2,-7.797,1,0.0749,0.252,0.0,0.0908,0.698,98.039,audio_features,173Qo5lw33RFSTOahpwvtk,spotify:track:173Qo5lw33RFSTOahpwvtk,https://api.spotify.com/v1/tracks/173Qo5lw33RFSTOahpwvtk,https://api.spotify.com/v1/audio-analysis/173Qo5lw33RFSTOahpwvtk,167440,4
Zip Gun Bop,Royal Crown Revue,35,0.486,0.56,7,-7.181,0,0.076,0.155,5.82e-05,0.0473,0.578,163.735,audio_features,4I4jQb4fkv51CLeTYMXGKT,spotify:track:4I4jQb4fkv51CLeTYMXGKT,https://api.spotify.com/v1/tracks/4I4jQb4fkv51CLeTYMXGKT,https://api.spotify.com/v1/audio-analysis/4I4jQb4fkv51CLeTYMXGKT,206960,4
That's Where My Money Goes,Indigo Swing,34,0.738,0.388,10,-11.421,1,0.0587,0.732,0.00273,0.106,0.818,93.286,audio_features,5ZX97cAgS6kRjqnudi7Ffq,spotify:track:5ZX97cAgS6kRjqnudi7Ffq,https://api.spotify.com/v1/tracks/5ZX97cAgS6kRjqnudi7Ffq,https://api.spotify.com/v1/audio-analysis/5ZX97cAgS6kRjqnudi7Ffq,176867,4
Swing Let's Swing,The Lucky Strikes,34,0.563,0.496,2,-11.518,1,0.286,0.434,2.44e-05,0.467,0.468,107.384,audio_features,7dSQJiQTr8WPJWxaplRSEg,spotify:track:7dSQJiQTr8WPJWxaplRSEg,https://api.spotify.com/v1/tracks/7dSQJiQTr8WPJWxaplRSEg,https://api.spotify.com/v1/audio-analysis/7dSQJiQTr8WPJWxaplRSEg,139507,4
Got My Own Thing Now - Remastered 2016,Squirrel Nut Zippers,43,0.623,0.678,2,-9.266,1,0.0508,0.458,1.17e-05,0.0308,0.962,130.201,audio_features,1guXZjrIm5XkzdWM2OAk7p,spotify:track:1guXZjrIm5XkzdWM2OAk7p,https://api.spotify.com/v1/tracks/1guXZjrIm5XkzdWM2OAk7p,https://api.spotify.com/v1/audio-analysis/1guXZjrIm5XkzdWM2OAk7p,150907,4
King Of Swing,Big Bad Voodoo Daddy,39,0.658,0.798,7,-5.505,0,0.0546,0.0743,0.000668,0.355,0.729,114.284,audio_features,7gfvRgIRok1ceh4QmTbBk9,spotify:track:7gfvRgIRok1ceh4QmTbBk9,https://api.spotify.com/v1/tracks/7gfvRgIRok1ceh4QmTbBk9,https://api.spotify.com/v1/audio-analysis/7gfvRgIRok1ceh4QmTbBk9,298600,4
Ain't No Big Thing,Big Kahuna and the Copa Cat Pack,33,0.797,0.847,8,-6.81,1,0.216,0.2,1.24e-06,0.167,0.565,111.492,audio_features,5FIuy1qgSfOENMDKHjsAsb,spotify:track:5FIuy1qgSfOENMDKHjsAsb,https://api.spotify.com/v1/tracks/5FIuy1qgSfOENMDKHjsAsb,https://api.spotify.com/v1/audio-analysis/5FIuy1qgSfOENMDKHjsAsb,213160,4
Brown Derby Jump,Cherry Poppin' Daddies,32,0.483,0.707,11,-8.756,0,0.141,0.116,0.000237,0.221,0.873,201.777,audio_features,5SEiTOjPOmNHDAyv6dfkDT,spotify:track:5SEiTOjPOmNHDAyv6dfkDT,https://api.spotify.com/v1/tracks/5SEiTOjPOmNHDAyv6dfkDT,https://api.spotify.com/v1/audio-analysis/5SEiTOjPOmNHDAyv6dfkDT,179828,4
Barflies at the Beach,Royal Crown Revue,32,0.469,0.86,11,-7.28,0,0.118,0.00207,0.000199,0.225,0.365,120.714,audio_features,5etDbpznJN71iUKaXUkwf3,spotify:track:5etDbpznJN71iUKaXUkwf3,https://api.spotify.com/v1/tracks/5etDbpznJN71iUKaXUkwf3,https://api.spotify.com/v1/audio-analysis/5etDbpznJN71iUKaXUkwf3,181653,4
Put A Lid On It,Squirrel Nut Zippers,41,0.496,0.547,0,-8.605,0,0.12,0.621,3.89e-05,0.421,0.87,197.424,audio_features,06HM8m5kmKG8AOt7eelGhI,spotify:track:06HM8m5kmKG8AOt7eelGhI,https://api.spotify.com/v1/tracks/06HM8m5kmKG8AOt7eelGhI,https://api.spotify.com/v1/audio-analysis/06HM8m5kmKG8AOt7eelGhI,157587,4
Whadaya Want,Casey MacGill & the Spirits of Rhythm,33,0.717,0.554,10,-8.379,0,0.0768,0.654,4.07e-06,0.101,0.61,150.143,audio_features,4HhMriMXwEGE1YE34qFyVZ,spotify:track:4HhMriMXwEGE1YE34qFyVZ,https://api.spotify.com/v1/tracks/4HhMriMXwEGE1YE34qFyVZ,https://api.spotify.com/v1/audio-analysis/4HhMriMXwEGE1YE34qFyVZ,197160,4
