song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
This Time Around,Dan Siegel,39,0.639,0.543,5,-8.603,1,0.0288,0.647,0.842,0.114,0.439,87.977,audio_features,1HBNkjEwlYzcscjBEoCQVA,spotify:track:1HBNkjEwlYzcscjBEoCQVA,https://api.spotify.com/v1/tracks/1HBNkjEwlYzcscjBEoCQVA,https://api.spotify.com/v1/audio-analysis/1HBNkjEwlYzcscjBEoCQVA,302507,4
Twice in a Lifetime,Michael Lington,39,0.579,0.533,7,-10.246,0,0.0366,0.603,0.548,0.0994,0.556,178.161,audio_features,0DFNqX97HJYLNFtYRu2FpO,spotify:track:0DFNqX97HJYLNFtYRu2FpO,https://api.spotify.com/v1/tracks/0DFNqX97HJYLNFtYRu2FpO,https://api.spotify.com/v1/audio-analysis/0DFNqX97HJYLNFtYRu2FpO,283867,4
I Just Can't Let Go,Everette Harp,39,0.583,0.559,5,-8.211,1,0.0611,0.0802,0.0856,0.0951,0.735,171.661,audio_features,375aCphxz2nRUZziqUS3LB,spotify:track:375aCphxz2nRUZziqUS3LB,https://api.spotify.com/v1/tracks/375aCphxz2nRUZziqUS3LB,https://api.spotify.com/v1/audio-analysis/375aCphxz2nRUZziqUS3LB,280869,4
The Lady In My Life,George Benson,38,0.645,0.584,9,-8.773,0,0.0357,0.796,0.783,0.233,0.511,76.962,audio_features,7r5B5N1ijHZuDSqNdoYPnK,spotify:track:7r5B5N1ijHZuDSqNdoYPnK,https://api.spotify.com/v1/tracks/7r5B5N1ijHZuDSqNdoYPnK,https://api.spotify.com/v1/audio-analysis/7r5B5N1ijHZuDSqNdoYPnK,270400,4
When I Think of You,Steve Cole,38,0.564,0.602,1,-10.059,1,0.0299,0.317,0.853,0.0767,0.523,91.024,audio_features,1l5lPGasBbuCpBH3l0qa1n,spotify:track:1l5lPGasBbuCpBH3l0qa1n,https://api.spotify.com/v1/tracks/1l5lPGasBbuCpBH3l0qa1n,https://api.spotify.com/v1/audio-analysis/1l5lPGasBbuCpBH3l0qa1n,249133,4
Missing in Venice,Rick Braun,38,0.652,0.689,7,-8.627,0,0.0543,0.617,0.726,0.12,0.811,167.744,audio_features,18PwsjZKbuoC3pBRhywxlf,spotify:track:18PwsjZKbuoC3pBRhywxlf,https://api.spotify.com/v1/tracks/18PwsjZKbuoC3pBRhywxlf,https://api.spotify.com/v1/audio-analysis/18PwsjZKbuoC3pBRhywxlf,256507,4
Rikke,David Sanborn,38,0.717,0.52,2,-11.659,0,0.0401,0.101,0.676,0.0558,0.625,149.859,audio_features,1wvb7JFKm9QeLJ7VNRmncw,spotify:track:1wvb7JFKm9QeLJ7VNRmncw,https://api.spotify.com/v1/tracks/1wvb7JFKm9QeLJ7VNRmncw,https://api.spotify.com/v1/audio-analysis/1wvb7JFKm9QeLJ7VNRmncw,303680,4
Last Look,Torcuato Mariano,38,0.622,0.424,0,-11.361,1,0.0371,0.41,0.441,0.091,0.191,91.006,audio_features,3aLL7ks2lkz9YklnnWYqrI,spotify:track:3aLL7ks2lkz9YklnnWYqrI,https://api.spotify.com/v1/tracks/3aLL7ks2lkz9YklnnWYqrI,https://api.spotify.com/v1/audio-analysis/3aLL7ks2lkz9YklnnWYqrI,276107,4
The Ride,Kim Waters,38,0.703,0.583,7,-8.434,1,0.0328,0.209,0.634,0.0645,0.746,94.979,audio_features,2QVzx6RuAvWAy6ZcB3o9WH,spotify:track:2QVzx6RuAvWAy6ZcB3o9WH,https://api.spotify.com/v1/tracks/2QVzx6RuAvWAy6ZcB3o9WH,https://api.spotify.com/v1/audio-analysis/2QVzx6RuAvWAy6ZcB3o9WH,290453,4
Anywhere Near You,Russ Freeman,38,0.661,0.567,5,-7.648,0,0.0315,0.343,0.45,0.134,0.307,83.004,audio_features,5rYAOOyDrBBcshfeNh2qfb,spotify:track:5rYAOOyDrBBcshfeNh2qfb,https://api.spotify.com/v1/tracks/5rYAOOyDrBBcshfeNh2qfb,https://api.spotify.com/v1/audio-analysis/5rYAOOyDrBBcshfeNh2qfb,285667,4
Nightlife,Paul Taylor,37,0.803,0.743,1,-5.814,1,0.0417,0.0115,0.516,0.0615,0.667,104.977,audio_features,2RZ4AXlxoLZbFgHGsfHY8i,spotify:track:2RZ4AXlxoLZbFgHGsfHY8i,https://api.spotify.com/v1/tracks/2RZ4AXlxoLZbFgHGsfHY8i,https://api.spotify.com/v1/audio-analysis/2RZ4AXlxoLZbFgHGsfHY8i,271880,4
Angel In Paris,Jeff Lorber,37,0.602,0.449,0,-12.957,0,0.0334,0.409,0.815,0.168,0.402,95.94,audio_features,1fUa03IMAd3cRKQvrVgEV1,spotify:track:1fUa03IMAd3cRKQvrVgEV1,https://api.spotify.com/v1/tracks/1fUa03IMAd3cRKQvrVgEV1,https://api.spotify.com/v1/audio-analysis/1fUa03IMAd3cRKQvrVgEV1,312227,4
Bird Island,Paul Hardcastle,37,0.673,0.641,4,-10.138,0,0.0313,0.256,0.729,0.0876,0.732,144.883,audio_features,5IJsB3d0lCO9sstn4odorM,spotify:track:5IJsB3d0lCO9sstn4odorM,https://api.spotify.com/v1/tracks/5IJsB3d0lCO9sstn4odorM,https://api.spotify.com/v1/audio-analysis/5IJsB3d0lCO9sstn4odorM,266200,4
Grover's Groove,Rick Braun,37,0.732,0.656,7,-8.772,0,0.0386,0.79,0.63,0.379,0.591,90.227,audio_features,4st8tyWOqApXeqy5GeHAst,spotify:track:4st8tyWOqApXeqy5GeHAst,https://api.spotify.com/v1/tracks/4st8tyWOqApXeqy5GeHAst,https://api.spotify.com/v1/audio-analysis/4st8tyWOqApXeqy5GeHAst,280240,4
After 8,Ronny Jordan,37,0.613,0.651,7,-8.12,1,0.0305,0.566,0.685,0.125,0.857,80.976,audio_features,7JZAkIzTNPV9Wd4a4sDdiN,spotify:track:7JZAkIzTNPV9Wd4a4sDdiN,https://api.spotify.com/v1/tracks/7JZAkIzTNPV9Wd4a4sDdiN,https://api.spotify.com/v1/audio-analysis/7JZAkIzTNPV9Wd4a4sDdiN,408893,4
Til the Morning Light,Michael Lington,36,0.666,0.617,2,-7.419,1,0.0329,0.275,0.638,0.0975,0.614,155.901,audio_features,0cLaBxrMKtBKjpeelpxvYG,spotify:track:0cLaBxrMKtBKjpeelpxvYG,https://api.spotify.com/v1/tracks/0cLaBxrMKtBKjpeelpxvYG,https://api.spotify.com/v1/audio-analysis/0cLaBxrMKtBKjpeelpxvYG,270037,4
Missin' You,Norman Brown,36,0.702,0.472,2,-7.958,1,0.0434,0.634,0.133,0.157,0.696,78.026,audio_features,0D1P8mNIcNqqrIPjfrSxeW,spotify:track:0D1P8mNIcNqqrIPjfrSxeW,https://api.spotify.com/v1/tracks/0D1P8mNIcNqqrIPjfrSxeW,https://api.spotify.com/v1/audio-analysis/0D1P8mNIcNqqrIPjfrSxeW,256693,4
Sunshine,Gordon James,36,0.75,0.552,5,-8.332,0,0.0362,0.5,0.805,0.104,0.597,149.768,audio_features,1v5WalcQgFcHnSYe1e6LcF,spotify:track:1v5WalcQgFcHnSYe1e6LcF,https://api.spotify.com/v1/tracks/1v5WalcQgFcHnSYe1e6LcF,https://api.spotify.com/v1/audio-analysis/1v5WalcQgFcHnSYe1e6LcF,305680,4
Secrets Told,Kim Waters & Chuck Loeb & Meli'sa Morgan,38,0.681,0.581,5,-6.565,0,0.0234,0.181,0.00255,0.431,0.502,95.024,audio_features,5lj52TLx3oa8qoVdTCpvZH,spotify:track:5lj52TLx3oa8qoVdTCpvZH,https://api.spotify.com/v1/tracks/5lj52TLx3oa8qoVdTCpvZH,https://api.spotify.com/v1/audio-analysis/5lj52TLx3oa8qoVdTCpvZH,317067,4
Grace,Nelson Rangell,34,0.529,0.505,0,-9.775,0,0.0306,0.0221,0.767,0.115,0.233,164.013,audio_features,4Ld3gMZnlIGuDOaUiybrko,spotify:track:4Ld3gMZnlIGuDOaUiybrko,https://api.spotify.com/v1/tracks/4Ld3gMZnlIGuDOaUiybrko,https://api.spotify.com/v1/audio-analysis/4Ld3gMZnlIGuDOaUiybrko,332333,4
Shelbi,Paul Hardcastle,36,0.675,0.46,4,-12.342,0,0.0324,0.00332,0.848,0.0798,0.727,103.442,audio_features,3THBbgiNAp43CpeU5knmFn,spotify:track:3THBbgiNAp43CpeU5knmFn,https://api.spotify.com/v1/tracks/3THBbgiNAp43CpeU5knmFn,https://api.spotify.com/v1/audio-analysis/3THBbgiNAp43CpeU5knmFn,242000,4
Puerto Banus,Paul Hardcastle & The Jazzmasters,35,0.586,0.554,5,-12.784,0,0.0314,0.0301,0.82,0.101,0.848,93.005,audio_features,4pFIja5qZFrSt2H38xitfu,spotify:track:4pFIja5qZFrSt2H38xitfu,https://api.spotify.com/v1/tracks/4pFIja5qZFrSt2H38xitfu,https://api.spotify.com/v1/audio-analysis/4pFIja5qZFrSt2H38xitfu,224267,4
Deep Into You,Gregg Karukas,41,0.629,0.51,2,-12.058,0,0.0407,0.309,0.519,0.111,0.469,82.006,audio_features,22IRfM9vp6o3kfv0KHOPSS,spotify:track:22IRfM9vp6o3kfv0KHOPSS,https://api.spotify.com/v1/tracks/22IRfM9vp6o3kfv0KHOPSS,https://api.spotify.com/v1/audio-analysis/22IRfM9vp6o3kfv0KHOPSS,316000,4
Livin' Large,Euge Groove,41,0.641,0.705,7,-7.804,1,0.0366,0.036,0.752,0.121,0.548,86.974,audio_features,5j9emKRjqGaJzwGZZbNO7X,spotify:track:5j9emKRjqGaJzwGZZbNO7X,https://api.spotify.com/v1/tracks/5j9emKRjqGaJzwGZZbNO7X,https://api.spotify.com/v1/audio-analysis/5j9emKRjqGaJzwGZZbNO7X,271533,4
Soul Kisses,Gregg Karukas,41,0.644,0.528,0,-9.355,0,0.0275,0.561,0.0362,0.0481,0.747,77.025,audio_features,4aQGzTppXF0C7qn0eXTMLh,spotify:track:4aQGzTppXF0C7qn0eXTMLh,https://api.spotify.com/v1/tracks/4aQGzTppXF0C7qn0eXTMLh,https://api.spotify.com/v1/audio-analysis/4aQGzTppXF0C7qn0eXTMLh,265147,4
