song,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,0
KICK BACK,Kenshi Yonezu,0,0.577,0.941,1,-5.17,1,0.105,0.00207,3.36e-06,0.0891,0.292,101.921,audio_features,3khEEPRyBeOUabbmOPJzAG,spotify:track:3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/tracks/3khEEPRyBeOUabbmOPJzAG,https://api.spotify.com/v1/audio-analysis/3khEEPRyBeOUabbmOPJzAG,193495,4,
Love Me Like You Do,Ellie Goulding,80,0.489,0.597,5,-6.633,0,0.0292,0.27,0,0.105,0.324,95.012,audio_features,0Cy7wt6IlRfBPHXXjmZbcP,spotify:track:0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/tracks/0Cy7wt6IlRfBPHXXjmZbcP,https://api.spotify.com/v1/audio-analysis/0Cy7wt6IlRfBPHXXjmZbcP,253520,4,
Hold Me Closer,Elton John & Britney Spears,90,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,audio_features,72yP0DUlWPyH8P7IoxskwN,spotify:track:72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/tracks/72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/audio-analysis/72yP0DUlWPyH8P7IoxskwN,202246,4,
Hold Me Closer,Elton John & Britney Spears,90,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,audio_features,72yP0DUlWPyH8P7IoxskwN,spotify:track:72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/tracks/72yP0DUlWPyH8P7IoxskwN,https://api.spotify.com/v1/audio-analysis/72yP0DUlWPyH8P7IoxskwN,202246,4,
Rock and A Hard Place,Bailey Zimmerman,84,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3,
Rock and A Hard Place,Bailey Zimmerman,84,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3,
Rock and A Hard Place,Bailey Zimmerman,84,0.582,0.568,1,-7.3,1,0.0275,0.577,0,0.105,0.394,121.991,audio_features,4686eQ81DEswHa90bcdlC9,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3,
Soul,Lee Brice,78,0.789,0.642,11,-8.304,1,0.0352,0.357,0,0.0985,0.755,121.003,audio_features,3vCUelLOtiuNF78p9LNWZF,spotify:track:3vCUelLOtiuNF78p9LNWZF,https://api.spotify.com/v1/tracks/3vCUelLOtiuNF78p9LNWZF,https://api.spotify.com/v1/audio-analysis/3vCUelLOtiuNF78p9LNWZF,167680,4,
Next Thing You Know,Jordan Davis,75,0.557,0.597,5,-8.296,1,0.048,0.646,0,0.0974,0.414,78.526,audio_features,2lNTHWu2I5Tcz9ukWsV5Jj,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/tracks/2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/audio-analysis/2lNTHWu2I5Tcz9ukWsV5Jj,175238,4,
Bust Your Windows,Jazmine Sullivan,64,0.683,0.664,5,-4.233,0,0.0332,0.538,0,0.0671,0.866,106.991,audio_features,56z2qI0gKcPthQF6l8AW3E,spotify:track:56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/tracks/56z2qI0gKcPthQF6l8AW3E,https://api.spotify.com/v1/audio-analysis/56z2qI0gKcPthQF6l8AW3E,266307,4,
